OID_,Value,Count,EPA_L3_R,LC16_BPS_200,US_L3CODE,L3_KEY,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR
15004,15004,261,611,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15005,15005,267,611,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15006,15006,5,615,1512,73,73  Mississippi Alluvial Plain,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,115,NA,100,53.000000000000000
15007,15007,128,610,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15008,15008,36,610,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15009,15009,73,608,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15010,15010,241,609,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15011,15011,35,607,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15012,15012,224,606,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15013,15013,49,607,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15014,15014,387,606,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15015,15015,131,605,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15016,15016,952,604,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15017,15017,158,603,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15018,15018,5,603,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15019,15019,87,604,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15020,15020,13,605,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15021,15021,602,602,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15022,15022,439,601,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15023,15023,1028,602,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15024,15024,93,600,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15025,15025,324,599,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15026,15026,284,599,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15027,15027,321,600,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15028,15028,5,597,1512,73,73  Mississippi Alluvial Plain,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,115,NA,100,53.000000000000000
15029,15029,29,597,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15030,15030,41,597,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15031,15031,27,601,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15032,15032,2,597,1514,73,73  Mississippi Alluvial Plain,14800_45_98,Gulf and Atlantic Coastal Plain Swamp Systems,994,NA,681,404.000000000000000
15033,15033,23,596,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15034,15034,40,596,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15035,15035,3,596,1512,73,73  Mississippi Alluvial Plain,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,115,NA,100,53.000000000000000
15036,15036,288,595,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15037,15037,13,595,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
15038,15038,293,594,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
15039,15039,1455,593,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
